Variable,Description,Source,Remarques
Pourcentage Tacles Réussis,Pourcentage moyen de tacles réussis par équipe,Données agrégées par équipe,Moyenne des pourcentages de tacles réussis par tous les joueurs de l'équipe
Buts Encaissés,Nombre moyen de buts encaissés par équipe,Données agrégées par équipe,Moyenne des buts encaissés enregistrés pour chaque joueur de l'équipe
